METADATA,Ah,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3
**CELL NAME**,SoC,100,91.66666667,83.33333333,75,66.66666667,58.33333333,50,41.66666667,33.33333333,25,16.66666667,8.333333333,0
CellR:,Voltage 0A,4.2,4.13,4.06,3.98,3.9,3.83,3.75,3.67,3.58,3.5,3.35,3.15,2.8
0.1,Voltage 0.2A,4.2,4.1,4.05,3.95,3.85,3.8,3.75,3.65,3.55,3.5,3.35,3.15,2.8
CellQ:,Voltage 0.5A,4.2,4.1,4.05,3.95,3.85,3.8,3.75,3.65,3.55,3.5,3.35,3.15,2.8
36000,Voltage 1A,4.18,4.05,4.01,3.91,3.83,3.78,3.7,3.62,3.54,3.47,3.35,3.15,2.8
,Voltage 2A,4.16,4.01,3.98,3.89,3.81,3.75,3.68,3.6,3.51,3.43,3.3,3.09,2.73
Ilist,Voltage 3A,4.13,3.98,3.94,3.85,3.79,3.72,3.64,3.55,3.48,3.4,3.28,3.05,2.7
0,Voltage 5A,4.1,3.93,3.89,3.81,3.74,3.68,3.6,3.5,3.44,3.35,3.24,3.02,2.67
0.2,Voltage 7A,4.05,3.87,3.83,3.77,3.7,3.62,3.54,3.46,3.4,3.315,3.2,2.99,2.63
0.5,Voltage 10A,4,3.8,3.75,3.7,3.62,3.56,3.49,3.41,3.34,3.27,3.15,2.95,2.57
1,Voltage 15A,3.9,3.7,3.65,3.6,3.53,3.46,3.4,3.33,3.275,3.2,3.08,2.88,2.5
2,Voltage 20A,3.75,3.6,3.55,3.5,3.44,3.39,3.32,3.26,3.2,3.12,3,2.8,2.4
3,Voltage 30A,3.6,3.4,3.35,3.28,3.23,3.2,3.15,3.1,3.03,2.95,2.8,2.6,2.15
5,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
